序号,节点ID,节点类型,文件名,状态,下载链接,镜像链接,搜索链接
104,14,CLIPVisionLoader,model.safetensors,已处理,https://huggingface.co/docs/safetensors/index,https://hf-mirror.com/docs/safetensors/index,
105,38,CLIPLoader,oldt5_xxl_fp8_e4m3fn_scaled.safetensors,已处理,https://huggingface.co/comfyanonymous/cosmos_1.0_text_encoder_and_VAE_ComfyUI/resolve/main/text_encoders/oldt5_xxl_fp8_e4m3fn_scaled.safetensors,https://hf-mirror.com/comfyanonymous/cosmos_1.0_text_encoder_and_VAE_ComfyUI/resolve/main/text_encoders/oldt5_xxl_fp8_e4m3fn_scaled.safetensors,
106,56,LoadWanVideoClipTextEncoder,open-clip-xlm-roberta-large-vit-huge-14_fp16.safetensors,已处理,https://huggingface.co/Serenak/chilloutmix/resolve/main/open-clip-xlm-roberta-large-vit-huge-14_fp16.safetensors,https://hf-mirror.com/Serenak/chilloutmix/resolve/main/open-clip-xlm-roberta-large-vit-huge-14_fp16.safetensors,
107,39,ControlNetLoader,outfitToOutfit_v20.safetensors,已处理,https://huggingface.co/XuminYu/example_safetensors/resolve/184b5d20a8ce24afd5cc633571fe2f58d8ee86c7/controlnet/outfitToOutfit_v20.safetensors,https://hf-mirror.com/XuminYu/example_safetensors/resolve/184b5d20a8ce24afd5cc633571fe2f58d8ee86c7/controlnet/outfitToOutfit_v20.safetensors,
108,10,PhotoMakerLoaderPlus,photomaker-v2.bin,已处理,https://huggingface.co/TencentARC/PhotoMaker-V2,https://hf-mirror.com/TencentARC/PhotoMaker-V2,
109,106,UNETLoader,pixelwave_flux1Dev03.safetensors,已处理,https://huggingface.co/mikeyandfriends/PixelWave_FLUX.1-dev_03/resolve/main/pixelwave_flux1_dev_fp8_03.safetensors,https://hf-mirror.com/mikeyandfriends/PixelWave_FLUX.1-dev_03/resolve/main/pixelwave_flux1_dev_fp8_03.safetensors,
110,94,PulidFluxModelLoader,pulid_flux_v0.9.0.safetensors,已处理,https://huggingface.co/camenduru/PuLID/resolve/main/pulid_flux_v0.9.0.safetensors,https://hf-mirror.com/camenduru/PuLID/resolve/main/pulid_flux_v0.9.0.safetensors,
111,32,LoraLoaderModelOnly,pytorch_lora_weights.safetensors,已处理,https://huggingface.co/latent-consistency/lcm-lora-sdv1-5/resolve/main/pytorch_lora_weights.safetensors,https://hf-mirror.com/latent-consistency/lcm-lora-sdv1-5/resolve/main/pytorch_lora_weights.safetensors,
112,103,CLIPVisionLoader,pytorch_model.bin,已处理,https://discuss.huggingface.co/t/explain-pytorch-model-bin/20744,https://hf-mirror.com/t/explain-pytorch-model-bin/20744,
113,57,CheckpointLoaderSimple,realvisxlV40_v40LightningBakedvae.safetensors,已处理,https://huggingface.co/yanex0/realisticvisxl/resolve/main/realvisxlV40_v40LightningBakedvae.safetensors,https://hf-mirror.com/yanex0/realisticvisxl/resolve/main/realvisxlV40_v40LightningBakedvae.safetensors,
114,154,RIFE VFI,rife47.pth,已处理,https://huggingface.co/jasonot/mycomfyui/resolve/main/rife47.pth,https://hf-mirror.com/jasonot/mycomfyui/resolve/main/rife47.pth,
115,42,RIFE VFI,rife49.pth,已处理,https://huggingface.co/jasonot/mycomfyui/resolve/main/rife47.pth,https://hf-mirror.com/jasonot/mycomfyui/resolve/main/rife47.pth,
116,25,LoraLoaderModelOnly,rumeizi_rank32_bf16-step00200.safetensors,未找到,,,https://www.bing.com/search?q=site:huggingface.co+%22rumeizi_rank32_bf16-step00200.safetensors%22
117,21,LoraLoaderModelOnly,rumeizi_rank32_bf16-step00400.safetensors,未找到,,,https://www.bing.com/search?q=site:huggingface.co+%22rumeizi_rank32_bf16-step00400.safetensors%22
118,10,LoraLoaderModelOnly,rumeizi_rank32_bf16-step00600.safetensors,未找到,,,https://www.bing.com/search?q=site:huggingface.co+%22rumeizi_rank32_bf16-step00600.safetensors%22
119,29,LoraLoaderModelOnly,rumeizi_rank32_bf16-step00800.safetensors,未找到,,,https://www.bing.com/search?q=site:huggingface.co+%22rumeizi_rank32_bf16-step00800.safetensors%22
120,33,LoraLoaderModelOnly,rumeizi_rank32_bf16-step01000.safetensors,未找到,,,https://www.bing.com/search?q=site:huggingface.co+%22rumeizi_rank32_bf16-step01000.safetensors%22
121,37,LoraLoaderModelOnly,rumeizi_rank32_bf16-step01200.safetensors,未找到,,,https://www.bing.com/search?q=site:huggingface.co+%22rumeizi_rank32_bf16-step01200.safetensors%22
122,41,LoraLoaderModelOnly,rumeizi_rank32_bf16-step01400.safetensors,未找到,,,https://www.bing.com/search?q=site:huggingface.co+%22rumeizi_rank32_bf16-step01400.safetensors%22
123,45,LoraLoaderModelOnly,rumeizi_rank32_bf16-step01600.safetensors,未找到,,,https://www.bing.com/search?q=site:huggingface.co+%22rumeizi_rank32_bf16-step01600.safetensors%22
124,57,LoraLoaderModelOnly,rumeizi_rank32_bf16-step01800.safetensors,未找到,,,https://www.bing.com/search?q=site:huggingface.co+%22rumeizi_rank32_bf16-step01800.safetensors%22
125,50,LoraLoaderModelOnly,rumeizi_rank32_bf16-step02000.safetensors,未找到,,,https://www.bing.com/search?q=site:huggingface.co+%22rumeizi_rank32_bf16-step02000.safetensors%22
126,51,LoraLoaderModelOnly,rumeizi_rank32_bf16-step02200.safetensors,未找到,,,https://www.bing.com/search?q=site:huggingface.co+%22rumeizi_rank32_bf16-step02200.safetensors%22
127,64,LoraLoaderModelOnly,rumeizi_rank32_bf16-step02400.safetensors,未找到,,,https://www.bing.com/search?q=site:huggingface.co+%22rumeizi_rank32_bf16-step02400.safetensors%22
128,65,LoraLoaderModelOnly,rumeizi_rank32_bf16-step02600.safetensors,未找到,,,https://www.bing.com/search?q=site:huggingface.co+%22rumeizi_rank32_bf16-step02600.safetensors%22
129,69,LoraLoaderModelOnly,rumeizi_rank32_bf16-step03640.safetensors,未找到,,,https://www.bing.com/search?q=site:huggingface.co+%22rumeizi_rank32_bf16-step03640.safetensors%22
130,73,LoraLoaderModelOnly,rumeizi_rank32_bf16-step03900.safetensors,未找到,,,https://www.bing.com/search?q=site:huggingface.co+%22rumeizi_rank32_bf16-step03900.safetensors%22
131,77,LoraLoaderModelOnly,rumeizi_rank32_bf16-step04160.safetensors,未找到,,,https://www.bing.com/search?q=site:huggingface.co+%22rumeizi_rank32_bf16-step04160.safetensors%22
132,385,SAMLoader,sam_vit_b_01ec64.pth,已处理,https://huggingface.co/datasets/Gourieff/ReActor/resolve/main/models/sams/sam_vit_b_01ec64.pth,https://hf-mirror.com/datasets/Gourieff/ReActor/resolve/main/models/sams/sam_vit_b_01ec64.pth,
133,4,CheckpointLoaderSimple,sd3.5_large.safetensors,已处理,https://huggingface.co/OwlMaster/SD3New/resolve/main/sd3.5_large.safetensors,https://hf-mirror.com/OwlMaster/SD3New/resolve/main/sd3.5_large.safetensors,
134,4,CheckpointLoaderSimple,sd3.5_large_turbo.safetensors,已处理,https://huggingface.co/stabilityai/stable-diffusion-3.5-large-turbo,https://hf-mirror.com/stabilityai/stable-diffusion-3.5-large-turbo,
135,252,CheckpointLoaderSimple,sd3_medium.safetensors,已处理,https://huggingface.co/stabilityai/stable-diffusion-3-medium,https://hf-mirror.com/stabilityai/stable-diffusion-3-medium,
136,3,HyperLoRALoader,sdxl_hyper_id_lora_v1_fidelity,已处理,https://huggingface.co/bytedance-research/HyperLoRA/resolve/main/sdxl_hyper_id_lora_v1_fidelity/hyper_lora_modules.safetensors,https://hf-mirror.com/bytedance-research/HyperLoRA/resolve/main/sdxl_hyper_id_lora_v1_fidelity/hyper_lora_modules.safetensors,
137,18,ControlNetLoader,sdxl_openpose.safetensors,已处理,https://huggingface.co/thibaud/controlnet-openpose-sdxl-1.0/resolve/main/OpenPoseXL2.safetensors,https://hf-mirror.com/thibaud/controlnet-openpose-sdxl-1.0/resolve/main/OpenPoseXL2.safetensors,
138,70,VAELoader,sdxl_vae_fp16fix.safetensors,已处理,https://huggingface.co/madebyollin/sdxl-vae-fp16-fix/resolve/main/sdxl.vae.safetensors,https://hf-mirror.com/madebyollin/sdxl-vae-fp16-fix/resolve/main/sdxl.vae.safetensors,
139,11,LoraLoaderModelOnly,skin texture style v5.safetensors,已处理,https://huggingface.co/PsyBro369/FLux_Lora/resolve/main/skin%20texture%20style%20v5.safetensors,https://hf-mirror.com/PsyBro369/FLux_Lora/resolve/main/skin%20texture%20style%20v5.safetensors,
140,78,HyVideoLoraSelect,skyreels-i2v-smooth-lora-test-00000350.safetensors,已处理,https://huggingface.co/spacepxl/skyreels-i2v-smooth-lora/resolve/main/skyreels-i2v-smooth-lora-test-00000350.safetensors,https://hf-mirror.com/spacepxl/skyreels-i2v-smooth-lora/resolve/main/skyreels-i2v-smooth-lora-test-00000350.safetensors,
141,1,HyVideoModelLoader,skyreels_hunyuan_i2v_bf16.safetensors,已处理,https://huggingface.co/Kijai/SkyReels-V1-Hunyuan_comfy/resolve/3049aa1da1187ab47492cc25c663e373040f05f1/skyreels_hunyuan_i2v_bf16.safetensors,https://hf-mirror.com/Kijai/SkyReels-V1-Hunyuan_comfy/resolve/3049aa1da1187ab47492cc25c663e373040f05f1/skyreels_hunyuan_i2v_bf16.safetensors,
142,4,CheckpointLoaderSimple,stablesr_768v_000139.ckpt,已处理,https://huggingface.co/Iceclear/StableSR/resolve/main/stablesr_768v_000139.ckpt,https://hf-mirror.com/Iceclear/StableSR/resolve/main/stablesr_768v_000139.ckpt,
143,22,WanVideoModelLoader,step20000.ckpt,已处理,https://huggingface.co/KwaiVGI/ReCamMaster-Wan2.1/tree/main,https://hf-mirror.com/KwaiVGI/ReCamMaster-Wan2.1/tree/main,
144,30,CheckpointLoaderSimple,stoiqoNewrealityFLUXSD35_f1DAlphaTwo.safetensors,已处理,https://huggingface.co/Patarapoom/model/resolve/main/stoiqoNewrealityFLUXSD35_f1DAlphaTwo.safetensors,https://hf-mirror.com/Patarapoom/model/resolve/main/stoiqoNewrealityFLUXSD35_f1DAlphaTwo.safetensors,
145,3,ImageOnlyCheckpointLoader,svd_xt_1_1.safetensors,已处理,https://huggingface.co/vdo/stable-video-diffusion-img2vid-xt-1-1/resolve/main/svd_xt_1_1.safetensors,https://hf-mirror.com/vdo/stable-video-diffusion-img2vid-xt-1-1/resolve/main/svd_xt_1_1.safetensors,
146,4,DualCLIPLoader,t5xxl_fp16.safetensors,已处理,https://huggingface.co/AUTOMATIC/stable-diffusion-3-medium-text-encoders/resolve/main/t5xxl_fp16.safetensors,https://hf-mirror.com/AUTOMATIC/stable-diffusion-3-medium-text-encoders/resolve/main/t5xxl_fp16.safetensors,
147,20,CLIPLoader,t5xxl_fp8_e4m3fn.safetensors,已处理,https://huggingface.co/comfyanonymous/flux_text_encoders/resolve/main/t5xxl_fp8_e4m3fn.safetensors,https://hf-mirror.com/comfyanonymous/flux_text_encoders/resolve/main/t5xxl_fp8_e4m3fn.safetensors,
148,48,ControlNetLoader,ttplanetSDXLControlnet_v10Fp16.safetensors,已处理,https://huggingface.co/zdouble/model/resolve/main/ttplanetSDXLControlnet_v20Fp16.safetensors,https://hf-mirror.com/zdouble/model/resolve/main/ttplanetSDXLControlnet_v20Fp16.safetensors,
149,11,LoadWanVideoT5TextEncoder,umt5-xxl-enc-bf16.safetensors,已处理,https://huggingface.co/Kijai/WanVideo_comfy/resolve/134ff46c7e03736a91bccd3ecef782bf4d3af132/umt5-xxl-enc-bf16.safetensors,https://hf-mirror.com/Kijai/WanVideo_comfy/resolve/134ff46c7e03736a91bccd3ecef782bf4d3af132/umt5-xxl-enc-bf16.safetensors,
150,92,CLIPLoader,umt5_xxl_fp8_e4m3fn_scaled.safetensors,已处理,https://huggingface.co/Evados/DiffSynth-Studio-Lora-Wan2.1-ComfyUI/resolve/main/umt5_xxl_fp8_e4m3fn_scaled.safetensors,https://hf-mirror.com/Evados/DiffSynth-Studio-Lora-Wan2.1-ComfyUI/resolve/main/umt5_xxl_fp8_e4m3fn_scaled.safetensors,
151,1,SONICTLoader,unet.pth,已处理,https://huggingface.co/LeonJoe13/Sonic/resolve/main/Sonic/unet.pth,https://hf-mirror.com/LeonJoe13/Sonic/resolve/main/Sonic/unet.pth,
152,54,ControlNetLoader,union_pro.safetensors,已处理,https://huggingface.co/Shakker-Labs/FLUX.1-dev-ControlNet-Union-Pro/resolve/main/diffusion_pytorch_model.safetensors,https://hf-mirror.com/Shakker-Labs/FLUX.1-dev-ControlNet-Union-Pro/resolve/main/diffusion_pytorch_model.safetensors,
153,39,ControlNetLoader,union_pro2.safetensors,已处理,https://huggingface.co/licyk/flux_controlnet/resolve/main/flux1-dev-instantx-controlnet-union.safetensors,https://hf-mirror.com/licyk/flux_controlnet/resolve/main/flux1-dev-instantx-controlnet-union.safetensors,
154,23,ADE_LoadAnimateDiffModel,v3_sd15_mm.ckpt,已处理,https://huggingface.co/guoyww/animatediff/resolve/main/v3_sd15_mm.ckpt,https://hf-mirror.com/guoyww/animatediff/resolve/main/v3_sd15_mm.ckpt,
155,22,WanVideoModelLoader,wan2.1_i2v_720p_14B_bf16.safetensors,已处理,https://huggingface.co/Wan-AI/Wan2.1-I2V-14B-720P/resolve/main/README.md,https://hf-mirror.com/Wan-AI/Wan2.1-I2V-14B-720P/resolve/main/README.md,
156,12,UNETLoader,wan2.1_t2v_1.3B_bf16.safetensors,已处理,https://huggingface.co/Comfy-Org/Wan_2.1_ComfyUI_repackaged/resolve/main/split_files/diffusion_models/wan2.1_t2v_1.3B_bf16.safetensors,https://hf-mirror.com/Comfy-Org/Wan_2.1_ComfyUI_repackaged/resolve/main/split_files/diffusion_models/wan2.1_t2v_1.3B_bf16.safetensors,
157,10,VAELoader,wan_2.1_vae.safetensors,已处理,https://huggingface.co/Comfy-Org/Wan_2.1_ComfyUI_repackaged/tree/main/split_files/vae,https://hf-mirror.com/Comfy-Org/Wan_2.1_ComfyUI_repackaged/tree/main/split_files/vae,
158,31,ApplyStableSRUpscaler,webui_768v_139.ckpt,已处理,https://huggingface.co/Iceclear/StableSR/resolve/main/webui_768v_139.ckpt,https://hf-mirror.com/Iceclear/StableSR/resolve/main/webui_768v_139.ckpt,
159,10,LoraLoader,xiu-ren.safetensors,未找到,,,https://www.bing.com/search?q=site:huggingface.co+%22xiu-ren.safetensors%22
160,24,LoraLoader,绪儿-敦煌飞天V2_V2.safetensors,未找到,,,https://www.bing.com/search?q=site:liblib.art+%22绪儿-敦煌飞天V2_V2.safetensors%22
